    WARNING: * (U+002a) is already defined more than once on the keyboard (on VK_G, ShiftState 'SGCAPS' and VK_8, ShiftState 'Shift').
    WARNING: 2 (U+0032) is already defined more than once on the keyboard (on VK_I, ShiftState 'Ctl+Alt' and VK_2, ShiftState 'Base').
    WARNING: 4 (U+0034) is already defined more than once on the keyboard (on VK_J, ShiftState 'Ctl+Alt' and VK_4, ShiftState 'Base').
    WARNING: ( (U+0028) is already defined more than once on the keyboard (on VK_J, ShiftState 'SGCAPS' and VK_9, ShiftState 'Shift').
    WARNING: 5 (U+0035) is already defined more than once on the keyboard (on VK_K, ShiftState 'Ctl+Alt' and VK_5, ShiftState 'Base').
    WARNING: ) (U+0029) is already defined more than once on the keyboard (on VK_K, ShiftState 'SGCAPS' and VK_0, ShiftState 'Shift').
    WARNING: 6 (U+0036) is already defined more than once on the keyboard (on VK_L, ShiftState 'Ctl+Alt' and VK_6, ShiftState 'Base').
    WARNING: 7 (U+0037) is already defined more than once on the keyboard (on VK_M, ShiftState 'Ctl+Alt' and VK_7, ShiftState 'Base').
    WARNING: 0 (U+0030) is already defined more than once on the keyboard (on VK_N, ShiftState 'Ctl+Alt' and VK_0, ShiftState 'Base').
    WARNING: % (U+0025) is already defined more than once on the keyboard (on VK_N, ShiftState 'SGCAPS' and VK_5, ShiftState 'Shift').
    WARNING: 3 (U+0033) is already defined more than once on the keyboard (on VK_O, ShiftState 'Ctl+Alt' and VK_3, ShiftState 'Base').
    WARNING: & (U+0026) is already defined more than once on the keyboard (on VK_P, ShiftState 'SGCAPS' and VK_7, ShiftState 'Shift').
    WARNING: ^ (U+005e) is already defined more than once on the keyboard (on VK_T, ShiftState 'SGCAPS' and VK_6, ShiftState 'Shift').
    WARNING: 1 (U+0031) is already defined more than once on the keyboard (on VK_U, ShiftState 'Ctl+Alt' and VK_1, ShiftState 'Base').
    WARNING: ! (U+0021) is already defined more than once on the keyboard (on VK_Y, ShiftState 'SGCAPS' and VK_1, ShiftState 'Shift').
    WARNING: + (U+002b) is already defined more than once on the keyboard (on VK_OEM_PLUS, ShiftState 'Shift' and VK_B, ShiftState 'SGCAPS').
    WARNING: 8 (U+0038) is already defined more than once on the keyboard (on VK_OEM_COMMA, ShiftState 'Ctl+Alt' and VK_8, ShiftState 'Base').
    WARNING: @ (U+0040) is already defined more than once on the keyboard (on VK_OEM_COMMA, ShiftState 'SGCAPS' and VK_2, ShiftState 'Shift').
    WARNING: _ (U+005f) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Shift' and VK_W, ShiftState 'SGCAPS').
    WARNING: 9 (U+0039) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Ctl+Alt' and VK_9, ShiftState 'Base').
    WARNING: x (U+0078) is already defined more than once on the keyboard (on VK_OEM_2, ShiftState 'Base' and VK_Y, ShiftState 'Base').
